id,lat_x,lon_x,lat_y,lon_y,point1,point2,distance,lanes,width,dist_ –æ“π‡µ’È¬_p1,dist_ –æ“π‡µ’È¬_p2,dist_ Õßæ√– ’Ëæ√–¬“_p1,dist_ Õßæ√– ’Ëæ√–¬“_p2,dist_«‘™ “¡¬Ë“π_p1,dist_«‘™ “¡¬Ë“π_p2,dist_∂ππ∑√—æ¬Ï_p1,dist_∂ππ∑√—æ¬Ï_p2,dist_π‡√»_p1,dist_π‡√»_p2,dist_ª“°´Õ¬æÿ∑∏‚Õ ∂_p1,dist_ª“°´Õ¬æÿ∑∏‚Õ ∂_p2,dist_Red_Planet_Hotel_p1,dist_Red_Planet_Hotel_p2
202.0,13.7309504,100.5240908,13.7309797,100.5241849,p324,p321,10.673806067329465,1,7,82.79496645777171,82.73782142945889,209.46848688131374,218.45449577032798,240.07647220247105,229.7009495030013,324.8800556912123,314.3494223549755,113.2044043549111,120.53531987831911,264.51189584152496,268.7276642079933,406.3245349430447,400.59636327960493
202.0,13.7309504,100.5240908,13.7310072,100.5242484,p324,p132,18.157379006004867,1,7,82.79496645777171,82.7033132786792,209.46848688131374,224.40787514214227,240.07647220247105,222.25984795660236,324.8800556912123,307.1304198969827,113.2044043549111,126.49955436824355,264.51189584152496,272.6236673911735,406.3245349430447,397.4140770210755
202.0,13.7309797,100.5241849,13.7309504,100.5240908,p321,p324,10.673806067329465,1,7,82.73782142945889,82.79496645777171,218.45449577032798,209.46848688131374,229.7009495030013,240.07647220247105,314.3494223549755,324.8800556912123,120.53531987831911,113.2044043549111,268.7276642079933,264.51189584152496,400.59636327960493,406.3245349430447
202.0,13.7309797,100.5241849,13.7310072,100.5242484,p321,p132,7.509840246017881,1,7,82.73782142945889,82.7033132786792,218.45449577032798,224.40787514214227,229.7009495030013,222.25984795660236,314.3494223549755,307.1304198969827,120.53531987831911,126.49955436824355,268.7276642079933,272.6236673911735,400.59636327960493,397.4140770210755
202.0,13.7310072,100.5242484,13.7309504,100.5240908,p132,p324,18.157379006004867,1,7,82.7033132786792,82.79496645777171,224.40787514214227,209.46848688131374,222.25984795660236,240.07647220247105,307.1304198969827,324.8800556912123,126.49955436824355,113.2044043549111,272.6236673911735,264.51189584152496,397.4140770210755,406.3245349430447
202.0,13.7310072,100.5242484,13.7309797,100.5241849,p132,p321,7.509840246017881,1,7,82.7033132786792,82.73782142945889,224.40787514214227,218.45449577032798,222.25984795660236,229.7009495030013,307.1304198969827,314.3494223549755,126.49955436824355,120.53531987831911,272.6236673911735,268.7276642079933,397.4140770210755,400.59636327960493
203.0,13.7310032,100.5245899,13.7308664,100.5243129,p230,p30,33.56549226916634,1,7,104.76838125581293,99.82758795131076,260.57602375899694,235.10365561015945,192.21421751809606,225.26327138767726,270.7031248998758,302.8112284831673,147.90041424949348,117.14170007774258,279.65843310386987,258.23232892944435,370.228107659119,381.90227270130606
203.0,13.7308664,100.5243129,13.7310032,100.5245899,p30,p230,33.56549226916634,1,7,99.82758795131076,104.76838125581293,235.10365561015945,260.57602375899694,225.26327138767726,192.21421751809606,302.8112284831673,270.7031248998758,117.14170007774258,147.90041424949348,258.23232892944435,279.65843310386987,381.90227270130606,370.228107659119
205.0,13.7308664,100.5243129,13.7307326,100.5243742,p30,p210,16.284830588761217,1,7,99.82758795131076,116.104168930736,235.10365561015945,245.94471362023643,225.26327138767726,229.27016777623342,302.8112284831673,299.55797705052333,117.14170007774258,109.99966308151494,258.23232892944435,244.88434946085394,381.90227270130606,367.2949372716551
205.0,13.7307326,100.5243742,13.7308664,100.5243129,p210,p30,16.284830588761217,1,7,116.104168930736,99.82758795131076,245.94471362023643,235.10365561015945,229.27016777623342,225.26327138767726,299.55797705052333,302.8112284831673,109.99966308151494,117.14170007774258,244.88434946085394,258.23232892944435,367.2949372716551,381.90227270130606
206.0,13.7308664,100.5243129,13.7310072,100.5242484,p30,p132,17.136492092369352,1,7,99.82758795131076,82.7033132786792,235.10365561015945,224.40787514214227,225.26327138767726,222.25984795660236,302.8112284831673,307.1304198969827,117.14170007774258,126.49955436824355,258.23232892944435,272.6236673911735,381.90227270130606,397.4140770210755
206.0,13.7310072,100.5242484,13.7308664,100.5243129,p132,p30,17.136492092369352,1,7,82.7033132786792,99.82758795131076,224.40787514214227,235.10365561015945,222.25984795660236,225.26327138767726,307.1304198969827,302.8112284831673,126.49955436824355,117.14170007774258,272.6236673911735,258.23232892944435,397.4140770210755,381.90227270130606
208.0,13.7307326,100.5243742,13.7308331,100.524604,p210,p294,27.22193077731572,1,7,116.104168930736,119.91932878566905,245.94471362023643,266.3765324052288,229.27016777623342,203.23829385488358,299.55797705052333,272.81325501008087,109.99966308151494,135.62149069377347,244.88434946085394,261.91059220393333,367.2949372716551,355.9634382213534
208.0,13.7308331,100.524604,13.7307326,100.5243742,p294,p210,27.22193077731572,1,7,119.91932878566905,116.104168930736,266.3765324052288,245.94471362023643,203.23829385488358,229.27016777623342,272.81325501008087,299.55797705052333,135.62149069377347,109.99966308151494,261.91059220393333,244.88434946085394,355.9634382213534,367.2949372716551
